userid,catid,rating
21746769,4283,1
19554244,7378,2
16020325,6012,2
20477860,9618,7
16112133,12370,4
4521221,15083,1
20706497,18265,6
11354361,19656,22
10693267,8144,12
6950843,7076,5
21534883,19089,2
16702180,3651,2
7538633,16366,2
9525796,7844,1
11458287,12003,4
9283870,5494,2
16189152,5372,1
4187201,19466,10
21795442,18265,4
1316404,4,3
17089167,10338,1
2167671,16854,1
15267659,5923,1
8358663,12003,2
12607677,8144,3
1989752,6012,38
5592277,18833,15
11796546,17385,4
20123593,7250,24
4106665,12370,1
14350908,10180,1
5598704,12370,1
33599,10071,4
12765565,10641,14
20133650,10656,1
1211467,12899,4
12953079,3088,1
12537005,19656,1
16189152,12559,1
20243060,6509,10
6971733,3309,2
18821028,16366,1
10102571,12899,2
10177378,10746,88
18988218,19656,2
2124402,6858,3
18983229,8815,12
17947041,19466,1
8804365,4374,40
1661359,10594,3
1402621,6846,2
8972376,8144,4
17701105,8144,1
7539016,11772,2
8444439,9516,11
9295581,3651,1
17115567,12370,1
9717348,10265,10
8444439,8714,39
2666135,4309,9
15623185,17421,1
4193002,17475,7
22698259,12910,1
10418677,10640,73
8611065,11412,1
6603589,4516,28
7433525,17803,1
14245097,3190,2
10067908,18265,4
21557785,16782,1
10582542,3651,2
19896101,3309,1
16192860,4,5
8371382,121,12
21540481,11881,1
8912631,3651,34
19926546,11772,8
7059176,19656,5
20308362,19656,7
11460858,6440,2
20123593,18837,28
7243728,18258,1
15383599,3651,2
20123593,19230,4
15155385,3651,4
9042169,3092,9
21207909,17383,24
4214817,17383,4
1639452,9893,3
4293037,18265,12
9437015,12519,4
16124045,12899,1
160429,6494,10
20733766,16366,1
7757614,10271,4
6478007,16868,3
8805072,10275,1
14350908,10231,3
3125484,10594,2
14687837,18844,2
19481769,18253,1
8800288,19040,4
20123593,15415,4
33445,1667,2
6275384,19867,7
9750800,17489,10
6483059,3651,20
6734627,9893,5
18767268,4516,1
10551675,19074,2
15093313,4516,2
19676363,4175,2
2916889,18265,14
14109595,8303,2
9292933,11881,16
3936355,11933,4
10892256,17562,2
22215238,16856,1
1911092,3309,1
21286165,11039,4
10463394,18265,1
7071896,19656,8
10533701,8144,15
8792518,19656,2
14719577,19656,6
11796546,11000,2
7528163,1728,1
17118129,8759,19
13693537,11933,5
19453437,18265,17
20123593,12081,2
21288449,8130,4
9386603,14699,14
348841,12369,2
8366808,3651,2
17795977,9893,4
14841026,10641,4
4977462,8143,1
16236704,915,1
22178079,3651,23
7100722,13087,1
7679533,10746,3
407192,18265,18
20484773,11412,18
12030081,19656,2
9137961,9824,1
4921205,18265,4
21665738,11931,1
10438650,4,2
465863,6482,1
10310931,4168,4
1391881,6320,2
1522771,10746,2
20033771,11881,8
21530031,3651,5
3725712,16366,1
17171380,8510,2
5151844,8144,2
2784394,1321,4
20123593,9516,34
22550340,8144,6
13762943,18265,7
2447590,10746,139
7441215,8714,4
1679001,4628,1
12375700,18265,2
11215594,12736,1
13651154,10746,16
18741400,11711,1
22612781,18253,2
2083548,8430,2
3711394,18833,4
19225332,9495,2
17247826,10231,2
4703307,11039,4
1068336,10275,1
13393106,12899,2
18870557,12370,1
6254785,19087,2
11951911,8143,1
20123593,8318,4
20476814,11039,2
928650,1233,4
1515730,10746,2
11453905,19656,38
120544,8665,2
13820908,18265,38
15958933,8347,1
9492929,8418,4
11678551,12370,2
17812694,12980,1
9813555,11039,2
11454237,18265,6
19758484,2929,4
11796546,17070,2
4865789,13712,4
12024553,5108,6
3242038,18946,4
18649823,18265,5
22001340,8144,16
21085097,8144,1
5556324,6856,1
5671510,16653,2
15994908,16957,9
9177440,10746,4
17362117,10985,6
17940198,18837,6
17933187,3651,9
8449344,12899,9
153805,10594,20
2435626,19656,12
4397839,3309,6
1524111,10010,6
21682565,18265,2
19130166,18853,1
10113378,18046,1
277334,8510,4
11229634,10265,4
12497452,10265,20
701666,4341,12
5572869,11039,10
3402556,10265,2
15383599,3151,2
14610094,17673,1
18870557,19656,20
20009593,8815,13
18315937,18253,1
4630303,10593,1
22350731,14842,5
10769137,18265,36
17373999,7997,1
8724798,5097,2
3477610,4628,22
9528744,19266,1
20123775,11754,1
9960165,18265,5
19101901,6300,1
12488122,10746,6
14350908,10593,1
12030081,6858,12
17268507,15470,1
6716900,8510,14
15535444,18253,1
20297534,10594,3
4636188,3309,4
9761499,12370,1
17893671,12899,8
17701105,17665,3
20123593,16806,10
12620380,9258,3
10761794,19074,1
20123593,15515,8
2790057,18265,32
16138896,9329,10
6262679,12271,2
15958509,12567,4
3193707,4477,2
20128068,4329,2
16349308,19089,2
1744426,17020,2
16318451,6858,2
5620787,8510,1
7441215,8951,6
7075990,5324,1
16788237,5979,1
12985262,11371,12
4460,3651,53
7291452,4461,6
11677272,12548,2
2100795,18265,32
10927720,10594,2
9021786,11601,1
10985291,1459,1
9603072,12370,1
8349992,10594,4
18522979,12967,1
8907193,8144,27
19085099,11772,3
20123593,19363,46
20587714,17863,1
3131546,18265,112
15383599,7155,6
22826537,10746,4
8923867,1728,8
6039778,8303,1
4903125,16134,1
2931626,12012,1
4313618,15762,2
16914154,12910,1
22110395,2543,8
6712961,18265,4
13856855,10746,3
10650132,12370,4
17128793,19466,1
20061479,11772,5
9813555,18863,1
13028637,11886,6
3632992,10746,2
13462500,19466,1
945917,15636,1
18165836,19266,1
17120791,2638,8
9259636,1345,1
17463793,10099,1
20924960,2044,2
20128068,8023,2
21295460,6858,4
15283695,6858,2
13084198,3651,2
6597481,18917,1
10069722,3651,2
9137719,8908,17
17747417,10265,27
17584713,9618,2
3359363,19656,16
15935115,7378,2
14271806,7310,6
4986862,6012,1
19107626,12899,12
12989308,18265,34
11966100,10746,1
22698259,12370,1
9371948,16744,1
20123593,11000,16
21110928,2844,12
6742834,2995,2
13193701,18265,12
9367961,18265,118
3821780,3651,1
3242038,1339,1
12847219,1425,4
6656990,7953,2
4861636,10746,2
4067480,7076,2
10418871,19656,26
4885958,8303,1
5089666,12899,3
3243763,12370,1
2779500,10746,15
6427406,19656,7
14806615,17562,6
18671926,1548,12
9840685,7378,2
21792452,4151,10
1993312,12899,10
18883441,11881,8
9849840,12370,1
22326063,18265,11
33445,915,18
9515893,3309,25
2346668,8144,15
